ID,TEXT,AUTHOR
781222409215115265,Thanks for the retweets! It's been a while!  Stay driven and positive #Geminis!,GeminiSignz
781221824235462656,#Gemini lover understands the erotic power of language.,GeminiSignz
781221587475435521,"A sympathetic listener, the #Gemini friend likes to use humor to leaven the troubles of others.",GeminiSignz
781219999000195072,"Givers and Takers, Ying and Yang, Lovers and Haters, etc. #Gemini, duality is our nature.",GeminiSignz
781219758305935360,#Gemini can also be flirtacious and vivacious and in the next moment be lonesome and morose.,GeminiSignz
781219061506142208,#Gemini's battle of personalities is often the result of a conflict between the emotions and the intellect.,GeminiSignz
781218645666037760,"#Gemini tend to be skilled at working with their hands, but they are not well suited for repetitive tasks.",GeminiSignz
781218333723136001,"On the job. Though easily distracted, #Gemini can be excellent in the work force.",GeminiSignz
781217883485446144,"On the other hand #Gemini can be very serious, thoughtful, restless and even indecisive.",GeminiSignz
781217692107862017,"#Gemini can be sociable,communicative and ready for fun.",GeminiSignz
1501756484451020800,How a #Gemini Handles a Break Up: They will Replaces you with a blink of an eye. Unless they have real feelings for you.,GeminiTerms
1501665922326708230,#Geminis tend to live exclusively in their minds.,GeminiTerms
1501575325490294787,#Gemini are great communicators &amp; conversationalist.,GeminiTerms
1501484945285566466,Daily Love and Relationship Horoscopes for #Gemini Today 09-Mar-2022 =&gt; https://t.co/eXfewkuLhh,GeminiTerms
1501484694432534531,#Gemini love making surprises &amp; making your jaw drop.,GeminiTerms
1501394096975486988,The best way for a #Gemini to catch your eye is to hold his/her attention; it’ll slowly come.,GeminiTerms
1501303530543407104,"If a #Gemini gives you another chance, they love you.",GeminiTerms
1501212902732308483,"Once #Gemini has completely lost feelings, good luck with trying to make them jealous.",GeminiTerms
1501126835924606979,#Gemini Single's Love Horoscopes for Today 08-Mar-2022 =&gt; https://t.co/wGFJjePTAl,GeminiTerms
1501122306168528897,#Gemini women are able to keep all kinds of mixed emotions without annoying you.,GeminiTerms
1420338553725374464,"#Gemini, as a friend will be loyal, honest and supportive.",GeminiTBH
1372034972589113346,"#Gemini would rather keep shit to themselves, than to ask advice from people who cannot relate.",GeminiTBH
1372004761533317120,"#Gemini think showing feelings = vulnerability &amp; getting hurt, which is why they never reveal to much emotions at once.",GeminiTBH
1371959594294120451,"Biggest turn off to #Gemini; Unappreciative people. If you can't appreciate the small things they do, you won't get shit from them.",GeminiTBH
1371944363639595011,#Gemini are clever &amp; manipulative as hell. You may never know what they're up to. They usually get away with A LOT of shit.,GeminiTBH
1371899237412311043,"Its not easy to know how a #Gemini feels for you, but trust that when the time comes they'll always treat you right &amp; be there for you.",GeminiTBH
1371884048604397569,"#Gemini will not do long term things for short-term people. If you aren't trustworthy or loyal, you won't get shit from them.",GeminiTBH
1371853984080793604,#Gemini can spot a fake person a mile away.,GeminiTBH
1371823646038196226,"You can never see when #Gemini is going through a down-fall. They always look like they're at their best, even when they are not.",GeminiTBH
1371793466666143744,"#Gemini are very rare, they keep to their words. If they say they're going to do it, it will get done.",GeminiTBH
