ID,TEXT,AUTHOR
781222409215115265,"['thank', 'the', 'retweet', 'it', 'a', 'stay', 'driven', 'posit', 'gemini']",GeminiSignz
781221824235462656,"['gemini', 'lover', 'understand', 'erot', 'power', 'languag']",GeminiSignz
781221587475435521,"['a', 'sympathet', 'listen', 'gemini', 'friend', 'like', 'use', 'humor', 'leaven', 'troubl', 'other']",GeminiSignz
781219999000195072,"['giver', 'taker', 'ying', 'yang', 'lover', 'hater', 'etc', 'gemini', 'dualiti', 'our', 'natur']",GeminiSignz
781219758305935360,"['gemini', 'also', 'flirtaci', 'vivaci', 'in', 'next', 'moment', 'lonesom', 'moro']",GeminiSignz
781219061506142208,"['gemini', 'battl', 'person', 'often', 'result', 'a', 'conflict', 'the', 'emot', 'the', 'intellect']",GeminiSignz
781218645666037760,"['gemini', 'tend', 'be', 'skill', 'work', 'their', 'hand', 'they', 'not', 'well', 'suit', 'repetit', 'task']",GeminiSignz
781218333723136001,"['on', 'job', 'though', 'easili', 'distract', 'gemini', 'be', 'excel', 'the', 'work', 'forc']",GeminiSignz
781217883485446144,"['on', 'other', 'hand', 'gemini', 'be', 'seriou', 'thought', 'restless', 'even', 'indecis']",GeminiSignz
781217692107862017,"['gemini', 'be', 'sociablecommun', 'readi', 'fun']",GeminiSignz
1501756484451020800,"['how', 'gemini', 'handl', 'break', 'up', 'they', 'replac', 'with', 'blink', 'an', 'eye', 'unless', 'have', 'real', 'feel', 'you']",GeminiTerms
1501665922326708230,"['gemini', 'tend', 'live', 'exclus', 'their', 'mind']",GeminiTerms
1501575325490294787,"['gemini', 'great', 'commun', 'amp', 'conversationalist']",GeminiTerms
1501484945285566466,"['daili', 'love', 'relationship', 'horoscop', 'gemini', 'today', '09mar2022', 'gt', 'httpstcoexfewkulhh']",GeminiTerms
1501484694432534531,"['gemini', 'love', 'make', 'surpris', 'amp', 'make', 'jaw', 'drop']",GeminiTerms
1501394096975486988,"['the', 'best', 'way', 'a', 'gemini', 'catch', 'eye', 'to', 'hold', 'hisher', 'attent', 'itll', 'slowli', 'come']",GeminiTerms
1501303530543407104,"['if', 'gemini', 'give', 'anoth', 'chanc', 'love']",GeminiTerms
1501212902732308483,"['onc', 'gemini', 'complet', 'lost', 'feel', 'good', 'luck', 'tri', 'make', 'jealou']",GeminiTerms
1501126835924606979,"['gemini', 'singl', 'love', 'horoscop', 'today', '08mar2022', 'gt', 'httpstcowgfjjept']",GeminiTerms
1501122306168528897,"['gemini', 'woman', 'abl', 'keep', 'kind', 'mix', 'emot', 'without', 'annoy']",GeminiTerms
1420338553725374464,"['gemini', 'a', 'friend', 'be', 'loyal', 'honest', 'support']",GeminiTBH
1372034972589113346,"['gemini', 'would', 'rather', 'keep', 'shit', 'themselv', 'to', 'ask', 'advic', 'peopl', 'can', 'relat']",GeminiTBH
1372004761533317120,"['gemini', 'think', 'show', 'feel', 'vulner', 'amp', 'get', 'hurt', 'is', 'they', 'never', 'reveal', 'much', 'emot', 'onc']",GeminiTBH
1371959594294120451,"['biggest', 'turn', 'to', 'gemini', 'unappreci', 'peopl', 'if', 'cant', 'appreci', 'small', 'thing', 'do', 'wont', 'get', 'shit', 'them']",GeminiTBH
1371944363639595011,"['gemini', 'clever', 'amp', 'manipul', 'hell', 'you', 'may', 'never', 'know', 'theyr', 'to', 'they', 'usual', 'get', 'away', 'a', 'lot', 'shit']",GeminiTBH
1371899237412311043,"['it', 'easi', 'know', 'a', 'gemini', 'feel', 'trust', 'when', 'time', 'come', 'theyll', 'alway', 'treat', 'you', 'right', 'amp', 'there', 'you']",GeminiTBH
1371884048604397569,"['gemini', 'not', 'long', 'term', 'thing', 'shortterm', 'peopl', 'if', 'arent', 'trustworthi', 'loyal', 'wont', 'get', 'shit', 'them']",GeminiTBH
1371853984080793604,"['gemini', 'spot', 'fake', 'person', 'mile', 'away']",GeminiTBH
1371823646038196226,"['you', 'never', 'see', 'gemini', 'go', 'a', 'downfal', 'they', 'alway', 'look', 'like', 'theyr', 'their', 'best', 'even', 'they', 'not']",GeminiTBH
1371793466666143744,"['gemini', 'veri', 'rare', 'keep', 'their', 'word', 'if', 'say', 'theyr', 'go', 'do', 'it', 'get', 'done']",GeminiTBH
