ID,TEXT,AUTHOR
1501756519595003904,"['you', 'miss', 'libra', 'you', 'dont', 'even', 'tri', 'talk', 'them', 'that', 'convinc', 'them']",LibraTerms
1501665887836909578,"['libra', 'male', 'like', 'the', 'bad', 'boy']",LibraTerms
1501575325725175810,"['if', 'libra', 'arent', 'coolest', 'peopl', 'the', 'room', 'at', 'least', 'look', 'like', 'are']",LibraTerms
1501497527408996354,"['libra', 'daili', 'health', 'wellb', 'horoscop', '09mar2022', 'gt', 'httpstcosjkiz35sfd']",LibraTerms
1501484694524813316,"['libra', 'sign', 'veri', 'social', 'they', 'like', 'talk', 'talk', 'talk', 'talk', 'talk']",LibraTerms
1501394136024375296,"['libra', 'been', 'known', 'be', 'undercov', 'freak', 'the', 'final', 'open', 'to', 'someon']",LibraTerms
1501303530593964032,"['libra', 'love', 'feel', 'be', 'appreci']",LibraTerms
1501212912844783632,"['libra', 'passiv', 'yet', 'aggress', 'charm', 'yet', 'petti', 'romant', 'yet', 'demand', 'amp', 'on']",LibraTerms
1501131113477070854,"['libra', 'singl', 'love', 'horoscop', 'today', '08mar2022', 'gt', 'httpstcodhxzpks4vf']",LibraTerms
1501122306416033796,"['a', 'libra', 'you', 'realli', 'need', 'much', 'le', 'black', 'amp', 'white', 'view', 'the', 'world']",LibraTerms
1485700192494141440,"['libra', 'never', 'stick', 'a', 'hobbi', 'they', 'want', 'do', 'tri', 'everyth']",AboutLibras
1485685083042418698,"['libra', 'tri', 'have', 'everyth', 'way', 'even', 'though', 'theyr', 'quit', 'sure', 'they', 'want', 'to', 'go']",AboutLibras
1485643766954438660,"['libra', 'dont', 'listen', 'their', 'advic']",AboutLibras
1485613504438673408,"['libra', 'make', 'great', 'parent']",AboutLibras
1485568184333869064,"['libra', 'would', 'rather', 'spend', 'money', 'save']",AboutLibras
1485458591796674567,"['i', 'a', 'libra', 'i', 'not', 'toler', 'unfair']",AboutLibras
1485435940432662528,"['libra', 'privat', 'peopl', 'if', 'want', 'be', 'alon', 'let', 'be', 'ok']",AboutLibras
1485405743918596098,"['if', 'libra', 'set', 'mind', 'someth', 'someon', 'will', 'get', 'one', 'way', 'anoth']",AboutLibras
1485398193886179330,"['libra', 'constantli', 'chang', 'mind']",AboutLibras
1485367994473598976,"['libra', 'love', 'everyth', 'beauti', 'includ', 'peopl', 'car', 'hous', 'etc']",AboutLibras
1501595014937423880,"['libra', 'i', 'mind', 'busi', 'i', 'pay', 'attent']",Libras_Society
1501233488057573376,"['libra', 'im', 'sensit', 'soft', 'ill', 'slap', 'while', 'im', 'cri']",Libras_Society
1500869921835667463,"['libra', 'be', 'friend', 'me', 'you', 'got', 'ta', 'understand', 'i', 'not', 'wan', 'na', 'talk', 'everyday']",Libras_Society
1499418755964628992,"['libra', 'i', 'stop', 'from', 'rude', 'mani', 'time', 'day', 'no', 'one', 'appreci']",Libras_Society
1498681202886254595,"['libra', 'sorri', 'i', 'didnt', 'text', 'back', 'i', 'pretend', 'i', 'didnt', 'see', 'and', 'i', 'end', 'actual', 'forget']",Libras_Society
1498332086981255175,"['libra', 'are', 'affect', 'the', 'energi', 'around', 'if', 'is', 'neg', 'must', 'either', 'fix', 'or', 'leav']",Libras_Society
1496883604856659974,"['libra', 'im', 'a', 'person', 'find', 'twice']",Libras_Society
1496155756114104324,"['libra', 'onc', 'i', 'care', 'i', 'dont', 'leav', 'onc', 'i', 'leav', 'i', 'dont', 'care']",Libras_Society
1495390644239544320,"['libra', 'i', 'got', 'ta', 'stress', 'out', 'first', 'see', 'you', 'realli', 'like', 'onli', 'strong', 'surviv']",Libras_Society
1493979537209798656,"['libra', 'i', 'hate', 'own', 'attitud', 'sometim', 'like', 'wtf', 'mad', 'now']",Libras_Society
